schema,class,fragment,type,status,compilation,first_error,timestamp
jansi.src.main.org.fusesource.jansi.AnsiMode,23-37:AnsiMode,30-32:AnsiMode,method,completed,success,Compilation successful,2026-06-18T19:55:27.544573
jansi.src.main.org.fusesource.jansi.AnsiMode,23-37:AnsiMode,34-36:getDescription,method,completed,success,Compilation successful,2026-06-18T19:55:36.474943
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,30-32:AnsiPrintStream,method,attempted,error,"Compilation failed: error: expected a member name after '.' in qualified name, found keyword 'init'",2026-06-18T20:36:06.255762
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,34-37:AnsiPrintStream,method,attempted,error,Compilation failed: error: extra arguments given for parameter list '()' in call,2026-06-18T20:36:41.597104
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,39-41:getOut,method,attempted,error,Compilation failed: error: undeclared identifier 'out',2026-06-18T20:37:16.321630
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,43-45:getType,method,completed,success,Compilation successful,2026-06-18T20:37:24.290337
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,47-49:getColors,method,completed,success,Compilation successful,2026-06-18T20:37:32.655290
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,51-53:getMode,method,completed,success,Compilation successful,2026-06-18T20:37:41.298645
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,55-57:setMode,method,completed,success,Compilation successful,2026-06-18T20:37:49.145432
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,59-61:isResetAtUninstall,method,completed,success,Compilation successful,2026-06-18T20:37:57.656311
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,63-65:setResetAtUninstall,method,completed,success,Compilation successful,2026-06-18T20:38:05.599650
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,71-73:getTerminalWidth,method,completed,success,Compilation successful,2026-06-18T20:38:14.564616
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,75-77:install,method,completed,success,Compilation successful,2026-06-18T20:38:23.205532
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,79-85:uninstall,method,attempted,error,Compilation failed: error: undeclared identifier 'null',2026-06-18T20:38:59.519022
jansi.src.main.org.fusesource.jansi.AnsiPrintStream,28-96:AnsiPrintStream,87-95:toString,method,attempted,error,Compilation failed: error: 'toString' is not a member of class 'AnsiType',2026-06-18T20:39:34.595353
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,24-24:Native,field,attempted,success,,2026-06-18T19:54:58.777272
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,25-25:Unsupported,field,attempted,success,,2026-06-18T19:54:58.821077
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,26-26:VirtualTerminal,field,attempted,success,,2026-06-18T19:54:58.865098
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,27-27:Emulation,field,attempted,success,,2026-06-18T19:54:58.909036
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,28-28:Redirected,field,attempted,success,,2026-06-18T19:54:58.965168
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,30-30:description,field,attempted,success,,2026-06-18T19:54:59.019047
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,32-34:AnsiType,method,completed,success,Compilation successful,2026-06-18T19:55:08.420927
jansi.src.main.org.fusesource.jansi.AnsiType,23-39:AnsiType,36-38:getDescription,method,completed,success,Compilation successful,2026-06-18T19:55:18.591469
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,32-32:LOADED,field,attempted,success,,2026-06-18T20:31:53.928746
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,47-47:STDOUT_FILENO,field,attempted,success,,2026-06-18T20:31:53.955936
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,49-49:STDERR_FILENO,field,attempted,success,,2026-06-18T20:31:53.983067
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,51-51:HAVE_ISATTY,field,attempted,success,,2026-06-18T20:31:54.009661
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,53-53:HAVE_TTYNAME,field,attempted,success,,2026-06-18T20:31:54.037658
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,55-55:TCSANOW,field,attempted,success,,2026-06-18T20:31:54.065834
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,56-56:TCSADRAIN,field,attempted,success,,2026-06-18T20:31:54.092914
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,57-57:TCSAFLUSH,field,attempted,success,,2026-06-18T20:31:54.121615
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,58-58:TIOCGETA,field,attempted,success,,2026-06-18T20:31:54.151206
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,59-59:TIOCSETA,field,attempted,success,,2026-06-18T20:31:54.178740
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,60-60:TIOCGETD,field,attempted,success,,2026-06-18T20:31:54.207398
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,61-61:TIOCSETD,field,attempted,success,,2026-06-18T20:31:54.235450
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,62-62:TIOCGWINSZ,field,attempted,success,,2026-06-18T20:31:54.264104
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,63-63:TIOCSWINSZ,field,attempted,success,,2026-06-18T20:31:54.290948
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,41-41:init_,method,completed,success,Compilation successful,2026-06-18T20:32:40.671196
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,75-75:isatty,method,completed,success,Compilation successful,2026-06-18T20:32:56.930155
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,77-77:ttyname,method,attempted,error,Compilation failed: error: mismatched types,2026-06-18T20:33:31.556543
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,91-92:openpty,method,attempted,error,Compilation failed: error: unexpected modifier 'public' on function declaration in function body,2026-06-18T20:34:09.174777
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,94-94:tcgetattr,method,completed,success,Compilation successful,2026-06-18T20:34:36.568985
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,96-96:tcsetattr,method,completed,success,Compilation successful,2026-06-18T20:34:55.026890
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,103-103:ioctl,method,completed,success,Compilation successful,2026-06-18T20:35:11.816762
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,105-105:ioctl,method,completed,success,Compilation successful,2026-06-18T20:35:29.344135
jansi.src.main.org.fusesource.jansi.internal.CLibrary,25-161:CLibrary,34-39:run_static_init,static_initializer,attempted,error,Compilation failed: error: unexpected modifier 'static' on function declaration in function body,2026-06-18T20:32:12.950589
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,63-63:loaded,field,attempted,success,,2026-06-18T19:55:36.516092
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,64-64:nativeLibraryPath,field,attempted,success,,2026-06-18T19:55:36.572336
jansi.src.main.org.fusesource.jansi.internal.JansiLoader,61-395:JansiLoader,65-65:nativeLibrarySourceUrl,field,attempted,success,,2026-06-18T19:55:36.615307
